D1,D2,D3,D4,D4_1,D4_2,p2q1 [OS1],p2q1 [OS2],p2q1 [OS3],p2q2 [OA1],p2q2 [OA2],p3q1E [OD1],p3q1E [OD2],p3q1E [OD3],p3q1E [OD4],p3q1E [OD5],p3q1T [OD1],p3q1T [OD2],p3q1T [OD3],p3q1T [OD6],p3q1T [OD4],p3q1T [OD5],p3q2E [OD_E1],p3q2E [OD_E2],p3q2E [OD_E3],p3q2E [OD_E4],p3q2T [OD_E1],p3q2T [OD_E2],p3q2T [OD_E3],p3q2T [OD_E5],p3q2T [OD_E4],p4q1T [1],p4q1T [2],p4q1T [3],p4q1T [4],p4q1T [5],p4q1T [6],p4q1T [7],p4q1T [8],p4q1T_O,p4q1E [1],p4q1E [2],p4q1E [3],p4q1E [4],p4q1E [5],p4q1E [6],p4q1E [7],p4q1E_O,p4q2,p4q2_O,p5q1 [SQ002],p5q1 [SQ001],p5q1 [SQ004],p5q1 [SQ005],p5q1_N,p5q2 [1],p5q2 [2],p5q2 [3],p5q2 [4],p5q2 [5],p5q2 [6],p5q2 [7],p5q2 [8],p5q2 [9],p6q1 [1],p6q1 [2],p6q1 [3],p6q1 [4],p6q2E [1],p6q2E [2],p6q2E [3],p6q2E [4],p6q2T [1],p6q2T [2],p6q2T [3],p6q2T [4],p7q1E [1],p7q1E [2],p7q1E [3],p7q1E [4],p7q1E [5],p7q1T [1],p7q1T [2],p7q1T [3],p7q2,p8q1 [1],p8q1 [2],p8q1 [3],p8q1 [4],p8q1 [5],p8q1 [6],p8q2 [1],p8q2 [2],p8q2 [3],p8q2 [4],p8q2 [5],p8q2 [6],p8q2 [7],p8q3 [1],p8q3 [2],p8q3 [3],p8q3 [4]
Male,Poland,more than 20 years,Experiment,> 500 members,,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Yes,No,No,No,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,Yes,At least one year after publication.,The funding bodies or institutions should decide and develop policies for researchers to follow.,,Yes,Yes,No,No,,Affect a lot,Affect a lot,Somewhat affect,Somewhat affect,Neutral,Rarely affect,Affect a lot,Rarely affect,Affect a lot,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neutral,Neutral,Somewhat disagree,,,,,Somewhat unhelpful,Neutral,Somewhat helpful,Somewhat helpful,Neutral,,,,,Weekly,Monthly,Daily,Weekly,Weekly,Once every 3 months,Moderately satisfied,No experience,Very satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Moderately satisfied,Affect a lot,Affect a lot,Somewhat affect,Neutral
Female,Germany,more than 20 years,Theory,,,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neutral,No,No,No,No,No,Yes,No,No,Yes,No,No,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,No,Yes,Yes,Yes,No,No,No,No,,No,No,No,No,No,No,No,,The HEP community as a whole should decide and set practices.,,Yes,Yes,No,No,,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Affect a lot,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,,,,,,Somewhat helpful,Somewhat helpful,Somewhat helpful,,Less than once a year,Less than once a year,Once a year,Once every 3 months,Monthly,Less than once a year,No experience,No experience,Moderately satisfied,Moderately satisfied,No experience,Moderately satisfied,No experience,Somewhat affect,Somewhat affect,Affect a lot,Affect a lot
Female,China,5 - 10 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Yes,Yes,No,No,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,,Each collaboration or team should decide for their work.,,Yes,Yes,No,No,,Rarely affect,Affect a lot,Affect a lot,Somewhat affect,Rarely affect,Not at all affect,Rarely affect,Rarely affect,Neutral,Neutral,Strongly agree,Strongly disagree,Somewhat disagree,Neutral,Strongly agree,Somewhat disagree,Strongly agree,,,,,Somewhat unhelpful,Somewhat unhelpful,Somewhat helpful,Somewhat helpful,Somewhat unhelpful,,,,,Monthly,Twice a year,Daily,Weekly,Daily,Daily,Very satisfied,Moderately satisfied,Moderately dissatisfied,Very satisfied,No experience,Very dissatisfied,Very satisfied,Not at all affect,Not at all affect,Affect a lot,Affect a lot
Male,France,less than 5 years,Experiment,> 500 members,,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,,The HEP community as a whole should decide and set practices.,,Yes,Yes,No,No,,Somewhat affect,Affect a lot,Somewhat affect,Affect a lot,Neutral,Affect a lot,Affect a lot,Rarely affect,Rarely affect,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,,,,,Somewhat helpful,Very helpful,Very helpful,Very helpful,Somewhat helpful,,,,,Daily,Less than once a year,Daily,Twice a year,Daily,Less than once a year,Very satisfied,No experience,Very dissatisfied,Moderately satisfied,No experience,Moderately dissatisfied,No experience,Affect a lot,Affect a lot,Affect a lot,Affect a lot
Male,Germany,less than 5 years,Experiment,> 500 members,,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Yes,No,No,No,No,No,No,No,No,No,No,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,No,No,,Each collaboration or team should decide for their work.,,Yes,Yes,No,No,,Somewhat affect,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Neutral,Somewhat affect,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,,,,,Somewhat helpful,Somewhat unhelpful,Somewhat helpful,Somewhat helpful,Somewhat unhelpful,,,,"Although the code might be interesting, it will slow down the process enormously and in most cases it just does not help",Daily,Less than once a year,Daily,Weekly,Daily,Less than once a year,Moderately satisfied,No experience,Very satisfied,Neither satisfied nor dissatisfied,No experience,Moderately satisfied,No experience,Affect a lot,Affect a lot,Affect a lot,Somewhat affect
Male,Denmark,more than 20 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Somewhat agree,Neutral,Strongly agree,No,No,No,Yes,No,No,No,No,No,No,No,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,No,No,,Each collaboration or team should decide for their work.,,Yes,Yes,No,No,,Affect a lot,Affect a lot,Somewhat affect,Neutral,Neutral,Neutral,Somewhat affect,Neutral,Affect a lot,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Neutral,Somewhat agree,,,,,Neutral,Somewhat unhelpful,Neutral,Somewhat helpful,Neutral,,,,,Monthly,Once every 3 months,Weekly,Weekly,Daily,Weekly,Moderately satisfied,Moderately satisfied,Very satisfied,Very satisfied,Moderately dissatisfied,Very satisfied,Moderately satisfied,Somewhat affect,Affect a lot,Affect a lot,Somewhat affect
Prefer not to say,France,less than 5 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Yes,No,No,Yes,No,No,No,No,No,No,No,Somewhat agree,Neutral,Somewhat agree,Strongly agree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,Yes,Yes,No,No,,Each collaboration or team should decide for their work.,,No,Yes,No,No,,Affect a lot,Somewhat affect,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Rarely affect,Neutral,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,,,,,Neutral,Somewhat unhelpful,Very unhelpful,Very unhelpful,Very unhelpful,,,,,Weekly,Monthly,Daily,Monthly,Daily,Less than once a year,Very satisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,No experience,Very satisfied,No experience,Somewhat affect,Affect a lot,Affect a lot,Somewhat affect
Female,Germany,less than 5 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Yes,No,No,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,No,No,No,No,No,No,No,No,,No,Yes,No,No,Yes,No,No,,Each collaboration or team should decide for their work.,,No,Yes,No,No,,Somewhat affect,Affect a lot,Somewhat affect,Affect a lot,Somewhat affect,Affect a lot,Affect a lot,Somewhat affect,Somewhat affect,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Neutral,Somewhat agree,Neutral,Neutral,,,,,Very helpful,Very helpful,Very helpful,Somewhat helpful,Very helpful,,,,,Monthly,Once a year,Daily,Daily,Daily,Daily,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Moderately dissatisfied,Moderately satisfied,No experience,Moderately dissatisfied,Moderately satisfied,Somewhat affect,Affect a lot,Affect a lot,Somewhat affect
Female,Republic of Korea,11 - 15 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No,Yes,No,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Neutral,,,,,,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,,The HEP community as a whole should decide and set practices.,,Yes,Yes,No,No,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,,,,,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,,,,,Weekly,Less than once a year,Weekly,Weekly,Weekly,Monthly,Moderately satisfied,No experience,Neither satisfied nor dissatisfied,Moderately satisfied,No experience,Moderately satisfied,Neither satisfied nor dissatisfied,Not at all affect,Affect a lot,Affect a lot,Neutral
Male,United States of America,less than 5 years,Experiment,> 500 members,,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,No,No,No,No,Yes,No,No,No,No,No,No,Somewhat agree,Strongly agree,Neutral,Somewhat agree,,,,,,No,No,No,No,No,No,No,No,,No,No,Yes,Yes,No,No,No,,Each collaboration or team should decide for their work.,,Yes,Yes,No,No,,Neutral,Somewhat affect,Not at all affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Somewhat affect,Strongly agree,Strongly agree,Neutral,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,,,,,Neutral,Somewhat helpful,Very helpful,Somewhat helpful,Somewhat helpful,,,,,Monthly,Less than once a year,Once every 3 months,Twice a year,Weekly,Less than once a year,Moderately satisfied,No experience,Very dissatisfied,No experience,No experience,Neither satisfied nor dissatisfied,No experience,Affect a lot,Somewhat affect,Affect a lot,Neutral
Male,Switzerland,less than 5 years,Experiment,< 20 members,,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Yes,No,No,No,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Neutral,,,,,,No,No,No,No,No,No,No,No,,No,Yes,Yes,Yes,Yes,No,No,,Each collaboration or team should decide for their work.,,Yes,No,No,No,,Affect a lot,Neutral,Somewhat affect,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Somewhat affect,Neutral,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,,,,,Very helpful,Very helpful,Very helpful,Very helpful,Neutral,,,,,Daily,Once a year,Monthly,Weekly,Weekly,Weekly,Very satisfied,Moderately satisfied,Moderately satisfied,Neither satisfied nor dissatisfied,No experience,Very satisfied,Moderately satisfied,Somewhat affect,Affect a lot,Affect a lot,Affect a lot
Male,United States of America,11 - 15 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,,,,,,No,No,No,No,No,No,No,No,,No,Yes,Yes,No,No,No,No,,The HEP community as a whole should decide and set practices.,,Yes,Yes,No,No,,Rarely affect,Somewhat affect,Somewhat affect,Affect a lot,Affect a lot,Neutral,Neutral,Neutral,Affect a lot,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,,,,,Neutral,Somewhat helpful,Neutral,Somewhat helpful,Somewhat helpful,,,,,Daily,Daily,Daily,Weekly,Daily,Less than once a year,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No experience,Very satisfied,No experience,Affect a lot,Affect a lot,Affect a lot,Affect a lot
Female,India,5 - 10 years,Experiment,> 500 members,,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Strongly agree,Yes,No,No,No,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,,,,,,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,,Each individual researcher should decide for their work autonomously.,,No,Yes,No,No,,Rarely affect,Not at all affect,Somewhat affect,Affect a lot,Affect a lot,Affect a lot,Somewhat affect,Somewhat affect,Affect a lot,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neutral,Somewhat agree,Strongly agree,Strongly agree,,,,,Very helpful,Somewhat helpful,Very helpful,Very helpful,Very helpful,,,,,Daily,Daily,Daily,Monthly,Daily,Monthly,Very satisfied,Very satisfied,Very satisfied,No experience,No experience,Very satisfied,Very satisfied,Somewhat affect,Affect a lot,Affect a lot,Affect a lot
Female,the United Kingdom of Great Britain and Northern Ireland,11 - 15 years,Experiment,> 500 members,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Yes,No,Yes,No,No,No,No,No,No,No,No,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,,,,,,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,,The HEP community as a whole should decide and set practices.,,Yes,Yes,No,No,,Somewhat affect,Rarely affect,Neutral,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,,,,,Somewhat unhelpful,Somewhat unhelpful,Somewhat unhelpful,Somewhat helpful,Somewhat unhelpful,,,,,Daily,Once every 3 months,Daily,Weekly,Daily,Once every 3 months,Moderately satisfied,Moderately satisfied,Moderately satisfied,Moderately satisfied,No experience,Moderately satisfied,No experience,Affect a lot,Somewhat affect,Affect a lot,Affect a lot
Male,the United Kingdom of Great Britain and Northern Ireland,5 - 10 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Neutral,,,,,,No,No,No,No,No,No,No,No,,No,No,Yes,Yes,Yes,No,No,,The HEP community as a whole should decide and set practices.,,Yes,Yes,No,No,,Rarely affect,Rarely affect,Rarely affect,Not at all affect,Neutral,Neutral,Somewhat affect,Affect a lot,Not at all affect,Neutral,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,,,,,Very unhelpful,Very unhelpful,Very unhelpful,Very unhelpful,Very unhelpful,,,,,Daily,Weekly,Daily,Monthly,Daily,Less than once a year,Moderately satisfied,Moderately satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Rarely affect,Affect a lot,Affect a lot,Affect a lot
Male,Russian Federation,16 - 20 years,Experiment,101 - 500 members,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Yes,No,No,Yes,No,No,No,No,No,No,No,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,No,No,No,No,No,No,No,No,,No,Yes,Yes,Yes,Yes,No,No,,Each collaboration or team should decide for their work.,,Yes,Yes,No,No,,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,,,,,Monthly,Less than once a year,Once every 3 months,Less than once a year,Monthly,Less than once a year,Moderately satisfied,No experience,Moderately satisfied,No experience,No experience,Moderately satisfied,No experience,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect
Male,the United Kingdom of Great Britain and Northern Ireland,16 - 20 years,Experiment,> 500 members,,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Yes,No,No,No,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,No,No,,The HEP community as a whole should decide and set practices.,,Yes,No,No,No,,Somewhat affect,Somewhat affect,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Not at all affect,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,,,,,Somewhat helpful,Somewhat helpful,Very helpful,Somewhat unhelpful,Somewhat helpful,,,,,Weekly,Daily,Daily,Daily,Daily,Weekly,Very satisfied,Very satisfied,Moderately satisfied,Very satisfied,No experience,Moderately satisfied,Moderately satisfied,Not at all affect,Affect a lot,Affect a lot,Somewhat affect
Prefer not to say,Italy,5 - 10 years,Experiment,101 - 500 members,,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Neutral,No,Yes,No,No,No,No,No,No,No,No,No,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,,,,,,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,,Each collaboration or team should decide for their work.,,Yes,No,No,No,,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Affect a lot,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,,,,,Somewhat unhelpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Very unhelpful,,,,,Daily,Daily,Daily,Once a year,Daily,Less than once a year,Very satisfied,Very satisfied,Moderately dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect
Male,Italy,11 - 15 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,No,No,,Each collaboration or team should decide for their work.,,Yes,Yes,No,No,,Somewhat affect,Affect a lot,Neutral,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect,Rarely affect,Somewhat affect,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Neutral,Somewhat agree,Neutral,Neutral,,,,,Very helpful,Neutral,Neutral,Somewhat helpful,Somewhat unhelpful,,,,,Daily,Weekly,Daily,Monthly,Daily,Twice a year,Very satisfied,Neither satisfied nor dissatisfied,Moderately satisfied,Neither satisfied nor dissatisfied,No experience,Neither satisfied nor dissatisfied,Very satisfied,Affect a lot,Affect a lot,Somewhat affect,Neutral
Male,Italy,more than 20 years,Other,,radiation detectors,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Yes,No,No,No,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Somewhat agree,Neutral,,,,,,No,No,No,No,Yes,No,No,No,,No,No,No,No,No,No,No,,The funding bodies or institutions should decide and develop policies for researchers to follow.,,No,No,Yes,No,,Neutral,Neutral,Affect a lot,Neutral,Somewhat affect,Somewhat affect,Neutral,Affect a lot,Neutral,Somewhat agree,Strongly agree,Neutral,Somewhat agree,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Very helpful,Neutral,,,,,Less than once a year,Less than once a year,Less than once a year,Monthly,Weekly,Less than once a year,No experience,No experience,No experience,Moderately satisfied,No experience,Moderately satisfied,No experience,Somewhat affect,Somewhat affect,Affect a lot,Somewhat affect
Male,Bulgaria,less than 5 years,Other,,Computing,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Yes,No,No,No,Yes,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,Yes,Yes,Yes,No,No,No,No,No,,No,No,No,No,No,No,No,,The HEP community as a whole should decide and set practices.,,No,Yes,No,No,,Rarely affect,Affect a lot,Neutral,Affect a lot,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Neutral,Strongly agree,Somewhat disagree,Neutral,,,,,Strongly agree,Strongly disagree,Neutral,Somewhat agree,Very helpful,Very helpful,Very helpful,Very helpful,Somewhat helpful,,,,,Daily,Twice a year,Daily,Daily,Daily,Less than once a year,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Moderately satisfied,No experience,Very satisfied,No experience,Affect a lot,Affect a lot,Affect a lot,Not at all affect
Female,India,less than 5 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Neutral,Neutral,Somewhat agree,No,No,No,No,Yes,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,,Each collaboration or team should decide for their work.,,Yes,Yes,No,No,,Rarely affect,Neutral,Affect a lot,Affect a lot,Affect a lot,Somewhat affect,Somewhat affect,Affect a lot,Somewhat affect,Somewhat agree,Strongly agree,Neutral,Somewhat disagree,Neutral,Somewhat disagree,Neutral,Neutral,,,,,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,,,,,Daily,Daily,Daily,Daily,Weekly,Less than once a year,Very satisfied,Very satisfied,Moderately satisfied,Neither satisfied nor dissatisfied,No experience,Moderately satisfied,No experience,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect
Male,the United Kingdom of Great Britain and Northern Ireland,more than 20 years,Experiment,> 500 members,,Strongly agree,Somewhat agree,Strongly agree,Neutral,Strongly agree,Yes,No,No,No,Yes,No,No,No,No,No,No,Strongly agree,Somewhat disagree,Somewhat agree,Neutral,,,,,,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,,Each collaboration or team should decide for their work.,,No,No,Yes,No,,Somewhat affect,Affect a lot,Neutral,Affect a lot,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neutral,Somewhat agree,,,,,Somewhat helpful,Somewhat helpful,Very helpful,Neutral,Very helpful,,,,,Once every 3 months,Once every 3 months,Monthly,Twice a year,Weekly,Less than once a year,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No experience,Very satisfied,No experience,Affect a lot,Affect a lot,Affect a lot,Affect a lot
Male,Germany,less than 5 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,,,,,,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,,Each collaboration or team should decide for their work.,,Yes,Yes,No,No,,Somewhat affect,Affect a lot,Somewhat affect,Affect a lot,Affect a lot,Affect a lot,Somewhat affect,Somewhat affect,Affect a lot,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,,,,,Somewhat helpful,Somewhat unhelpful,Somewhat unhelpful,Somewhat unhelpful,Somewhat unhelpful,,,,,Daily,Monthly,Daily,Daily,Daily,Once every 3 months,Very satisfied,Moderately satisfied,Moderately dissatisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Affect a lot,Affect a lot,Affect a lot,Somewhat affect
Male,Turkey,less than 5 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Yes,Yes,No,No,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Neutral,,,,,,No,No,No,No,No,No,No,No,,No,Yes,Yes,No,No,No,No,,Each collaboration or team should decide for their work.,,Yes,Yes,No,No,,Neutral,Affect a lot,Neutral,Somewhat affect,Somewhat affect,Somewhat affect,Rarely affect,Rarely affect,Somewhat affect,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,,,,,Somewhat helpful,Somewhat helpful,Very helpful,Very helpful,Neutral,,,,,Weekly,Monthly,Daily,Daily,Daily,Daily,Very satisfied,No experience,Moderately satisfied,Moderately satisfied,No experience,Very satisfied,Very satisfied,Somewhat affect,Affect a lot,Affect a lot,Somewhat affect
Male,Italy,more than 20 years,Experiment,101 - 500 members,,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Yes,No,No,No,No,No,No,No,No,No,No,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,No,No,,Each collaboration or team should decide for their work.,,No,Yes,No,No,,Somewhat affect,Somewhat affect,Rarely affect,Neutral,Neutral,Neutral,Somewhat affect,Neutral,Neutral,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Somewhat disagree,Neutral,Somewhat disagree,Somewhat disagree,,,,,Somewhat unhelpful,Somewhat unhelpful,Neutral,Somewhat helpful,Very unhelpful,,,,,Daily,Daily,Daily,Monthly,Weekly,Less than once a year,Very satisfied,Moderately satisfied,Moderately satisfied,Neither satisfied nor dissatisfied,No experience,Very satisfied,No experience,Affect a lot,Affect a lot,Affect a lot,Somewhat affect
Male,United States of America,16 - 20 years,Experiment,> 500 members,,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,No,No,,The funding bodies or institutions should decide and develop policies for researchers to follow.,,Yes,Yes,No,No,,Somewhat affect,Affect a lot,Neutral,Neutral,Neutral,Somewhat affect,Neutral,Somewhat affect,Somewhat affect,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Neutral,Neutral,Neutral,,,,,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,,,,,Daily,Less than once a year,Monthly,Monthly,Daily,Daily,Very satisfied,No experience,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,No experience,Neither satisfied nor dissatisfied,Very satisfied,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect
