Gender,D2,D3,D4,D4_1,D4_2,p2q1 [OS1],p2q1 [OS2],p2q1 [OS3],p2q2 [OA1],p2q2 [OA2],p3q1E [OD1],p3q1E [OD2],p3q1E [OD3],p3q1E [OD4],p3q1E [OD5],p3q1T [OD1],p3q1T [OD2],p3q1T [OD3],p3q1T [OD6],p3q1T [OD4],p3q1T [OD5],p3q2E [OD_E1],p3q2E [OD_E2],p3q2E [OD_E3],p3q2E [OD_E4],p3q2T [OD_E1],p3q2T [OD_E2],p3q2T [OD_E3],p3q2T [OD_E4],p3q2T [OD_E5],p4q1T [1],p4q1T [2],p4q1T [3],p4q1T [4],p4q1T [5],p4q1T [6],p4q1T [7],p4q1T [8],p4q1T_O,p4q1E [1],p4q1E [2],p4q1E [3],p4q1E [4],p4q1E [5],p4q1E [6],p4q1E [7],p4q1E_O,p4q2,p4q2_O,p5q1 [SQ002],p5q1 [SQ001],p5q1 [SQ004],p5q1 [SQ005],p5q1_N,p5q2 [1],p5q2 [2],p5q2 [3],p5q2 [4],p5q2 [5],p5q2 [6],p5q2 [7],p5q2 [8],p5q2 [9],p6q1 [1],p6q1 [2],p6q1 [3],p6q1 [4],p6q2E [1],p6q2E [2],p6q2E [3],p6q2E [4],p6q2T [1],p6q2T [2],p6q2T [3],p6q2T [4],p7q1E [1],p7q1E [2],p7q1E [3],p7q1E [4],p7q1E [5],p7q1T [1],p7q1T [2],p7q1T [3],p7q2,p8q1 [1],p8q1 [2],p8q1 [3],p8q1 [4],p8q1 [5],p8q1 [6],p8q2 [1],p8q2 [2],p8q2 [3],p8q2 [4],p8q2 [5],p8q2 [6],p8q2 [7],p8q3 [1],p8q3 [2],p8q3 [3],p8q3 [4]
F,India,Junior,EX,> 500 ,,4,4,3,5,5,Y,N,N,N,N,N,N,N,N,N,N,5,5,5,2,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,N,,individual,,N,Y,N,N,,2,1,4,5,5,5,4,4,5,4,4,2,2,3,4,5,5,,,,,5,4,5,5,5,,,,,Daily,Daily,Daily,Monthly,Daily,Monthly,5,5,5,0,0,5,5,4,5,5,5
F,the United Kingdom of Great Britain and Nrthern Ireland,Junior,EX,> 500 ,,4,4,4,4,3,Y,N,Y,N,N,N,N,N,N,N,N,2,2,2,4,,,,,NA,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,,community,,Y,Y,N,N,,4,2,3,4,4,4,4,4,4,2,4,4,2,2,4,2,4,,,,,2,2,2,4,2,,,,,Daily,Once every 3 months,Daily,Weekly,Daily,Once every 3 months,4,4,4,4,0,4,0,5,4,5,5
M,the United Kingdom of Great Britain and Nrthern Ireland,Junior,EX,> 500 ,,5,5,5,5,5,Y,Y,Y,Y,N,N,N,N,N,N,N,5,5,5,3,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,Y,Y,N,N,,community,,Y,Y,N,N,,2,2,2,1,3,3,4,5,1,3,4,2,1,1,4,1,1,,,,,1,1,1,1,1,,,,,Daily,Weekly,Daily,Monthly,Daily,Less than once a year,4,4,3,3,1,5,3,2,5,5,5
M,Russian Federation,Senior,EX,101 - 500 ,,4,4,4,4,4,Y,N,N,Y,N,N,N,N,N,N,N,4,4,4,4,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,Y,Y,Y,N,N,,collab,,Y,Y,N,N,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,4,4,4,4,4,,,,,Monthly,Less than once a year,Once every 3 months,Less than once a year,Monthly,Less than once a year,4,0,4,0,0,4,0,4,4,4,4
M,the United Kingdom of Great Britain and Nrthern Ireland,Senior,EX,> 500 ,,5,4,4,5,5,Y,N,N,N,N,N,N,N,N,N,N,5,5,5,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,community,,Y,N,N,N,,4,4,3,3,3,3,3,3,1,4,4,3,2,2,4,1,4,,,,,4,4,5,2,4,,,,,Weekly,Daily,Daily,Daily,Daily,Weekly,5,5,4,5,0,4,4,1,5,5,4
NA,Italy,Junior,EX,101 - 500 ,,4,5,1,5,3,N,Y,N,N,N,N,N,N,N,N,N,5,1,4,4,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,N,,collab,,Y,N,N,N,,4,4,4,5,5,5,4,4,4,5,5,2,2,4,4,4,5,,,,,2,4,4,4,1,,,,,Daily,Daily,Daily,Once a year,Daily,Less than once a year,5,5,2,5,3,5,3,4,4,4,4
M,Italy,Junior,EX,> 500 ,,5,5,5,3,3,Y,Y,Y,Y,N,N,N,N,N,N,N,5,5,4,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,collab,,Y,Y,N,N,,4,5,3,5,4,4,4,2,4,4,4,3,2,3,4,3,3,,,,,5,3,3,4,2,,,,,Daily,Weekly,Daily,Monthly,Daily,Twice a year,5,3,4,3,0,3,5,5,5,4,3
F,India,Junior,EX,> 500 ,,5,5,3,3,4,N,N,N,N,Y,N,N,N,N,N,N,5,5,5,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,N,N,N,N,,collab,,Y,Y,N,N,,2,3,5,5,5,4,4,5,4,4,5,3,2,3,2,3,3,,,,,5,5,5,5,5,,,,,Daily,Daily,Daily,Daily,Weekly,Less than once a year,5,5,4,3,0,4,0,4,4,4,4
M,the United Kingdom of Great Britain and Nrthern Ireland,Senior,EX,> 500 ,,5,4,5,3,5,Y,N,N,N,Y,N,N,N,N,N,N,5,2,4,3,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,N,N,N,N,,collab,,N,N,Y,N,,4,5,3,5,5,4,4,4,5,2,5,2,4,4,2,3,4,,,,,4,4,5,3,5,,,,,Once every 3 months,Once every 3 months,Monthly,Twice a year,Weekly,Less than once a year,5,5,5,5,0,5,0,5,5,5,5
M,Germany,Junior,EX,> 500 ,,5,5,5,5,5,Y,N,Y,Y,N,N,N,N,N,N,N,5,5,5,2,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,N,N,N,N,,collab,,Y,Y,N,N,,4,5,4,5,5,5,4,4,5,4,5,1,1,1,5,4,5,,,,,4,2,2,2,2,,,,,Daily,Monthly,Daily,Daily,Daily,Once every 3 months,5,4,2,5,5,5,5,5,5,5,4
M,Turkey,Junior,EX,> 500 ,,5,5,5,5,3,Y,Y,N,N,N,N,N,N,N,N,N,5,5,5,3,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,Y,N,N,N,N,,collab,,Y,Y,N,N,,3,5,3,4,4,4,2,2,4,2,4,2,1,5,2,5,4,,,,,4,4,5,5,3,,,,,Weekly,Monthly,Daily,Daily,Daily,Daily,5,0,4,4,0,5,5,4,5,5,4
M,Italy,Senior,EX,101 - 500 ,,5,5,4,4,4,Y,N,N,N,N,N,N,N,N,N,N,4,4,3,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,collab,,N,Y,N,N,,4,4,2,3,3,3,4,3,3,4,5,3,4,2,3,2,2,,,,,2,2,3,4,1,,,,,Daily,Daily,Daily,Monthly,Weekly,Less than once a year,5,4,4,3,0,5,0,5,5,5,4
M,United States of America,Senior,EX,> 500 ,,4,4,5,4,3,Y,Y,Y,Y,N,N,N,N,N,N,N,4,4,5,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,funder,,Y,Y,N,N,,4,5,3,3,3,4,3,4,4,2,5,1,1,2,3,3,3,,,,,4,4,4,4,4,,,,,Daily,Less than once a year,Monthly,Monthly,Daily,Daily,5,0,3,3,0,3,5,4,4,4,4
M,Poland,Senior,EX,> 500 ,,5,5,5,5,3,N,N,Y,N,N,N,N,N,N,N,N,5,3,4,3,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,N,,collab,,N,N,Y,N,,5,5,3,3,4,4,4,3,5,4,4,5,5,4,4,3,4,,,,,4,4,5,5,4,,,,,Daily,Daily,Daily,Once a year,Daily,Monthly,5,5,4,0,0,5,3,5,5,5,5
F,Romania,Junior,EX,> 500 ,,5,5,5,3,3,N,Y,N,N,N,N,N,N,N,N,N,5,5,5,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,N,N,N,N,,individual,,Y,N,N,N,,1,4,3,4,3,3,3,3,1,2,5,1,1,1,3,1,5,,,,,5,5,5,5,5,,,,,Daily,Daily,Daily,Daily,Daily,Less than once a year,5,5,5,5,0,5,0,4,4,4,4
M,the United Kingdom of Great Britain and Nrthern Ireland,Senior,EX,20 - 50 ,,5,5,5,4,3,N,N,N,N,Y,N,N,N,N,N,N,4,3,4,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,community,,N,Y,N,N,,4,4,3,3,4,5,5,4,5,4,4,3,3,3,4,3,4,,,,,4,4,4,4,4,,,,,Monthly,Monthly,Daily,Monthly,Weekly,Once every 3 months,4,3,4,2,0,4,0,3,3,4,5
M,Austria,Junior,EX,> 500 ,,4,4,3,5,5,Y,N,N,N,N,N,N,N,N,N,N,2,2,2,1,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,"When the dataset has been analyzed by the collaboration, that is, typically after 3-5 years.",collab,,Y,Y,N,N,,5,2,4,5,5,4,4,1,5,4,5,1,3,1,4,3,4,,,,,3,3,4,1,2,,,,"The collaboration needs to have a safe space where statements can be exchanged that are Nt readily defendable in front of the general public. For this reason, e.g. slides, can only contain material approved by the collaboration and hence reproduce the paper content + the extra material.",Daily,Weekly,Daily,Weekly,Daily,Daily,5,4,2,4,0,5,5,4,4,5,4
M,United States of America,Junior,EX,> 500 ,,5,5,5,5,3,Y,Y,Y,Y,N,N,N,N,N,N,N,5,5,5,5,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,N,,community,,Y,Y,N,N,,2,4,1,2,3,4,4,4,5,5,5,1,1,1,5,4,3,,,,,1,1,1,1,1,,,,"reviewing this will be such a burden on the peer reviewer, they will never go through it",Daily,Daily,Daily,Weekly,Daily,Twice a year,5,2,5,2,0,5,2,4,5,5,5
M,Switzerland,Junior,EX,< 20 ,,4,4,4,4,3,Y,N,N,N,N,N,N,N,N,N,N,4,4,3,2,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,community,,N,Y,N,N,,5,4,5,4,5,5,2,2,5,4,5,4,5,4,4,2,1,,,,,1,2,4,3,1,,,,,Monthly,Less than once a year,Twice a year,Monthly,Weekly,Less than once a year,5,0,4,4,0,5,0,4,4,5,5
M,Italy,Senior,EX,> 500 ,,5,5,4,5,4,Y,N,N,N,N,N,N,N,N,N,N,3,4,3,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,Y,N,N,,collab,,Y,Y,N,N,,2,3,4,5,4,4,4,5,3,3,5,2,2,2,2,4,4,,,,,3,4,4,5,3,,,,,Daily,Daily,Daily,Daily,Daily,Once every 3 months,4,4,2,5,0,5,3,4,5,5,4
M,France,Senior,EX,< 20 ,,1,1,1,2,3,N,Y,N,N,N,N,N,N,N,N,N,2,1,1,2,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,N,N,N,N,,collab,,N,N,Y,N,,3,3,2,3,4,4,4,5,5,4,4,4,4,5,4,3,4,,,,,3,4,4,5,5,,,,,Less than once a year,Less than once a year,Once a year,Once a year,Once a year,Once a year,4,4,4,3,3,5,5,4,4,3,4
M,United States of America,Junior,EX,> 500 ,,4,3,4,5,3,Y,N,N,N,Y,N,N,N,N,N,N,4,4,3,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,individual,,N,Y,N,N,,5,3,3,3,4,4,5,4,4,4,5,2,2,2,4,3,2,,,,,4,4,5,4,3,,,,,Daily,Less than once a year,Monthly,Daily,Weekly,Less than once a year,5,4,4,5,0,4,0,5,5,5,5
F,United States of America,Junior,EX,> 500 ,,1,1,1,4,4,Y,N,N,N,N,N,N,N,N,N,N,4,4,4,2,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,collab,,Y,Y,N,N,,5,5,2,2,4,4,4,4,4,1,5,1,1,1,5,5,5,,,,,2,2,4,4,4,,,,,Daily,Daily,Daily,Daily,Daily,Once every 3 months,2,4,4,5,0,5,0,2,5,5,2
M,United States of America,Junior,EX,> 500 ,,5,4,3,3,3,Y,N,N,N,N,N,N,N,N,N,N,3,4,4,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,N,N,N,N,,collab,,N,N,Y,N,,4,4,3,3,5,5,4,3,4,2,5,2,2,2,3,3,2,,,,,3,3,3,4,3,,,,,Weekly,Weekly,Weekly,Weekly,Weekly,Less than once a year,5,5,5,5,0,5,0,3,5,5,3
M,Germany,Senior,EX,> 500 ,,5,5,5,5,5,Y,N,N,N,N,N,N,N,N,N,N,4,4,5,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,collab,,N,Y,N,N,,3,4,4,3,4,3,3,5,4,4,4,3,3,3,3,3,3,,,,,4,3,3,4,3,,,,,Once a year,Once a year,Once a year,Once a year,Once every 3 months,Once a year,3,3,2,3,3,4,3,4,3,3,3
M,Nrway,Junior,EX,< 20 ,,4,4,4,4,4,Y,N,N,N,Y,N,N,N,N,N,N,4,5,4,3,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,community,,N,N,Y,N,,3,4,5,4,4,4,5,2,5,4,4,2,3,4,2,3,3,,,,,4,4,2,2,3,,,,,Monthly,Less than once a year,Once a year,Daily,Monthly,Less than once a year,4,0,3,5,3,4,0,3,4,5,5
M,Slovenia,Senior,EX,> 500 ,,5,5,5,3,3,N,N,Y,N,N,N,N,N,N,N,N,4,5,5,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,collab,,Y,Y,N,N,,4,3,4,3,5,5,5,5,5,4,5,1,1,3,3,2,2,,,,,5,4,3,3,2,,,,,Weekly,Daily,Daily,Daily,Daily,Once every 3 months,5,5,5,5,0,4,3,5,5,5,5
M,Romania,Junior,EX,> 500 ,,5,5,3,5,3,Y,Y,Y,Y,N,N,N,N,N,N,N,4,4,4,3,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,N,,collab,,Y,Y,N,N,,5,5,1,4,4,5,3,3,3,2,4,2,1,2,3,4,4,,,,,4,3,4,4,3,,,,,Daily,Daily,Daily,Weekly,Daily,Less than once a year,4,4,4,4,0,3,0,5,4,4,4
M,Austria,Senior,EX,> 500 ,,5,5,5,3,5,Y,N,N,N,N,N,N,N,N,N,N,2,1,1,3,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,N,N,N,N,,collab,,N,N,N,Y,Data are too complex to be analysed by outsiders,3,3,3,3,3,3,3,3,3,3,3,4,5,3,3,3,3,,,,,1,2,1,1,1,,,,,Monthly,Less than once a year,Monthly,Daily,Weekly,Less than once a year,4,0,5,5,4,5,0,5,5,5,5
F,Italy,Junior,EX,> 500 ,,2,2,2,5,3,Y,N,N,N,N,N,N,N,N,N,N,5,4,5,3,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,community,,N,Y,N,N,,4,4,5,3,3,3,3,4,4,2,4,1,2,3,3,3,4,,,,,3,3,3,2,3,,,,,Weekly,Less than once a year,Daily,Daily,Weekly,Less than once a year,5,0,5,4,3,5,0,4,5,5,4
M,Russian Federation,Senior,EX,> 500 ,,5,4,4,3,2,Y,N,N,N,N,N,N,N,N,N,N,4,2,5,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,community,,N,Y,N,N,,4,3,4,4,4,4,4,5,3,2,4,4,2,2,3,2,4,,,,,2,2,2,4,4,,,,,Less than once a year,Less than once a year,Less than once a year,Less than once a year,Weekly,Less than once a year,0,0,0,0,0,0,0,4,4,4,4
M,France,Senior,EX,> 500 ,,4,4,3,5,4,N,N,N,N,Y,N,N,N,N,N,N,4,2,5,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,N,Y,N,,funder,,N,N,Y,N,,4,3,5,4,3,4,2,5,3,3,4,2,3,3,5,2,4,,,,,4,4,4,5,4,,,,,Less than once a year,Less than once a year,Once a year,Weekly,Daily,Weekly,0,0,4,3,0,5,4,5,4,4,2
M,France,Senior,EX,101 - 500 ,,5,5,5,5,4,N,N,N,N,Y,N,N,N,N,N,N,5,5,5,3,,,,,NA,N,N,N,N,N,N,N,N,,Y,Y,Y,Y,N,N,N,,individual,,Y,Y,N,N,,2,4,1,5,4,4,4,1,4,4,5,2,4,5,4,4,4,,,,,4,5,2,3,5,,,,,Weekly,Twice a year,Weekly,Once every 3 months,Weekly,Less than once a year,5,4,5,4,0,5,0,5,5,5,4
F,the United Kingdom of Great Britain and Nrthern Ireland,Junior,EX,> 500 ,,1,1,2,1,3,Y,N,N,N,N,N,N,N,N,N,N,1,1,3,1,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,community,,Y,N,N,N,,4,5,1,1,5,5,5,4,5,5,3,3,1,1,5,1,4,,,,,3,3,4,4,3,,,,,Daily,Weekly,Daily,Weekly,Weekly,Less than once a year,5,4,5,0,0,5,3,5,5,5,4
M,the United Kingdom of Great Britain and Nrthern Ireland,Senior,EX,> 500 ,,5,4,5,4,4,Y,Y,Y,Y,N,N,N,N,N,N,N,4,4,3,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,collab,,Y,Y,N,N,,2,3,3,3,5,5,2,5,2,3,5,3,1,3,2,4,4,,,,,2,4,4,4,4,,,,,Once every 3 months,Monthly,Weekly,Monthly,Daily,Less than once a year,3,2,2,3,0,1,0,4,4,4,5
M,the United Kingdom of Great Britain and Nrthern Ireland,Junior,EX,101 - 500 ,,5,4,4,5,3,Y,Y,Y,N,N,N,N,N,N,N,N,4,4,4,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,community,,N,N,Y,N,,5,5,4,5,4,4,5,5,5,2,5,1,1,2,5,2,4,,,,,3,1,1,2,1,,,,,Daily,Daily,Weekly,Less than once a year,Daily,Less than once a year,5,5,3,0,0,5,0,4,4,4,5
F,Germany,Junior,EX,> 500 ,,4,4,5,5,3,Y,N,N,N,N,N,N,N,N,N,N,3,4,2,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,Y,N,N,N,,collab,,Y,Y,N,N,,5,5,4,5,3,5,5,4,5,5,5,2,4,4,5,1,4,,,,,3,4,4,5,3,,,,Can someone finally fix vydio to be usable with Ubuntu?!?!,Daily,Monthly,Daily,Twice a year,Daily,Twice a year,5,4,4,3,3,2,3,4,4,5,5
NA,the United Kingdom of Great Britain and Nrthern Ireland,Senior,EX,> 500 ,,5,3,4,1,2,Y,N,N,N,N,N,N,N,N,N,N,4,4,2,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,collab,,Y,Y,N,N,,4,4,3,2,2,2,5,3,5,3,5,3,4,1,5,1,1,,,,,3,3,4,4,3,,,,,Monthly,Monthly,Monthly,Once every 3 months,Daily,Less than once a year,4,4,3,2,0,4,0,4,5,5,4
M,Croatia,Senior,EX,> 500 ,,5,5,5,4,4,Y,Y,N,N,N,N,N,N,N,N,N,3,3,3,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,Y,N,N,,community,,N,Y,N,N,,4,5,2,4,4,4,4,5,4,3,5,2,2,1,4,4,3,,,,,1,1,4,4,4,,,,"The basic problem in sharing open data, and the reason why I am reluctant to support it completely, that data as such without a lot of auxiliary kNwledge present in the EX, could be misinterpreted and lead to wrong results",Weekly,Monthly,Weekly,Daily,Daily,Once every 3 months,4,4,5,5,0,5,5,4,5,5,4
M,the United Kingdom of Great Britain and Nrthern Ireland,Junior,EX,> 500 ,,5,5,5,3,3,Y,N,N,N,N,N,N,N,N,N,N,4,3,2,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,collab,,Y,Y,N,N,,4,5,3,3,3,4,5,3,3,1,5,1,1,1,5,1,3,,,,,3,4,4,5,2,,,,"Hard to separate out general analysis framework of a collaboration from specific codebase of one paper. A 50k+ line code base can Nt feasibly be reviewed, snippets can but then there is a strong selection bias.",Daily,Weekly,Weekly,Monthly,Daily,Once every 3 months,5,5,2,2,0,5,5,4,5,5,5
M,Italy,Senior,EX,101 - 500 ,,5,5,4,5,4,N,N,N,N,Y,N,N,N,N,N,N,2,4,1,2,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,collab,,N,Y,N,N,,4,4,4,2,4,3,4,4,4,2,4,1,2,2,4,3,2,,,,,2,2,2,4,2,,,,,Monthly,Less than once a year,Monthly,Monthly,Weekly,Once a year,5,0,5,4,0,5,0,4,4,4,4
M,Austria,Junior,EX,> 500 ,,5,4,5,5,3,Y,Y,N,N,N,N,N,N,N,N,N,2,3,4,2,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,Y,Y,Y,N,N,,collab,,Y,Y,N,N,,2,2,4,4,4,4,4,4,3,4,4,3,3,1,4,1,1,,,,,5,2,5,5,3,,,,,Daily,Once every 3 months,Daily,Daily,Daily,Twice a year,5,3,2,5,0,3,4,3,5,5,4
F,the United Kingdom of Great Britain and Nrthern Ireland,Junior,EX,> 500 ,,5,5,5,3,3,Y,N,N,N,N,N,N,N,N,N,N,5,5,5,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,collab,,Y,Y,N,N,,3,5,3,5,5,5,5,4,4,2,4,1,1,2,4,2,3,,,,,4,4,4,4,3,,,,,Daily,Less than once a year,Daily,Daily,Daily,Less than once a year,5,0,5,4,0,5,0,4,4,4,4
M,Germany,Senior,EX,101 - 500 ,,4,3,4,4,1,Y,N,N,N,Y,N,N,N,N,N,N,4,4,4,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,funder,,N,N,Y,N,,5,3,2,4,3,4,4,3,3,4,5,4,4,1,5,4,3,,,,,1,1,3,4,1,,,,,Less than once a year,Less than once a year,Once a year,Twice a year,Daily,Less than once a year,2,0,3,4,0,5,0,3,4,5,5
NA,the United Kingdom of Great Britain and Nrthern Ireland,Senior,EX,> 500 ,,2,1,2,2,1,N,Y,N,N,N,N,N,N,N,N,N,1,1,1,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,N,Y,N,,Other,bureaucrats should mind their own buisness and leave us alone to do real work,N,Y,N,N,,1,1,1,1,5,4,5,1,1,4,4,1,5,2,4,1,1,,,,,1,1,1,1,1,,,,,Less than once a year,Less than once a year,Daily,Weekly,Daily,Less than once a year,0,0,3,2,0,3,0,4,3,5,4
M,Israel,Junior,EX,> 500 ,,5,5,5,4,2,Y,N,N,N,N,N,N,N,N,N,N,4,4,5,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,collab,,N,Y,N,N,,2,5,5,4,5,5,5,5,4,5,5,5,4,4,4,4,2,,,,,5,4,3,4,2,,,,,Less than once a year,Less than once a year,Weekly,Daily,Weekly,Less than once a year,0,0,3,4,0,5,0,5,5,4,4
M,the United Kingdom of Great Britain and Nrthern Ireland,Junior,EX,> 500 ,,5,5,5,3,3,N,N,Y,N,N,N,N,N,N,N,N,5,5,5,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,individual,,Y,Y,N,N,,1,4,4,4,3,4,4,5,3,3,5,1,1,2,4,4,2,,,,,4,4,4,4,4,,,,,Daily,Weekly,Daily,Weekly,Daily,Monthly,5,5,5,5,3,5,5,4,5,5,5
M,Germany,Junior,EX,101 - 500 ,,5,5,5,2,3,Y,Y,N,N,N,N,N,N,N,N,N,4,5,5,2,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,individual,,Y,Y,N,N,,3,2,1,2,1,2,5,4,3,3,5,2,3,2,5,2,4,,,,,3,4,4,4,2,,,,,Daily,Less than once a year,Twice a year,Daily,Once every 3 months,Daily,5,0,3,5,0,5,5,4,5,5,2
F,Hungary,Junior,EX,> 500 ,,5,5,5,4,3,Y,Y,N,N,N,N,N,N,N,N,N,4,4,5,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,collab,,Y,Y,N,N,,4,2,3,4,3,4,5,5,5,2,5,2,1,1,4,2,1,,,,,3,2,4,5,2,,,,,Weekly,Less than once a year,Daily,Daily,Daily,Less than once a year,4,0,4,4,0,5,0,5,5,5,4
M,Slovenia,Senior,EX,> 500 ,,4,4,3,4,2,Y,N,N,N,N,N,N,N,N,N,N,5,4,4,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,N,N,N,N,,individual,,N,Y,N,N,,4,5,3,5,3,5,5,5,5,3,5,2,2,3,3,2,4,,,,,4,3,3,4,3,,,,,Less than once a year,Less than once a year,Once a year,Once every 3 months,Monthly,Once a year,0,0,4,5,0,4,0,3,3,4,5
M,Germany,Junior,EX,51 - 100 ,,5,5,5,5,4,Y,N,N,N,N,N,N,N,N,N,N,4,4,4,2,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,Y,Y,N,N,,collab,,Y,Y,N,N,,5,5,4,5,4,2,5,4,5,5,5,2,2,4,5,4,4,,,,,5,5,5,5,4,,,,,Weekly,Less than once a year,Monthly,Monthly,Weekly,Less than once a year,5,0,5,5,0,5,0,5,5,5,5
F,Germany,Junior,EX,101 - 500 ,,5,5,4,5,5,Y,N,N,N,N,N,N,N,N,N,N,5,5,5,5,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,N,,collab,,N,Y,N,N,,3,4,4,5,5,5,4,4,5,3,3,3,3,4,4,3,5,,,,,4,5,4,4,4,,,,,Weekly,Less than once a year,Daily,Daily,Monthly,Weekly,5,0,4,5,0,4,4,3,3,3,3
M,United States of America,Senior,EX,> 500 ,,5,5,5,5,5,Y,N,N,N,N,N,N,N,N,N,N,5,5,5,1,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,N,,funder,,Y,Y,N,N,,4,5,4,4,5,1,5,1,5,3,5,2,1,4,2,5,5,,,,,5,5,4,2,5,,,,,Daily,Weekly,Daily,Daily,Daily,Weekly,1,2,2,1,3,1,1,4,5,5,5
F,Switzerland,Senior,EX,> 500 ,,5,5,5,5,4,Y,Y,Y,Y,N,N,N,N,N,N,N,5,5,5,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,N,N,N,N,,collab,,Y,Y,N,N,,5,5,3,3,4,4,3,3,3,3,5,1,1,2,4,1,4,,,,,2,2,2,2,2,,,,There is N need to have coding and data as part of the review. Once they are public anyone else could publish papers that confirm or Nt the paper.,Monthly,Less than once a year,Daily,Daily,Daily,Monthly,5,0,5,5,0,5,5,4,5,5,4
M,Turkey,Senior,EX,> 500 ,,4,3,4,3,3,Y,N,N,N,N,N,N,N,N,N,N,4,2,3,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,collab,,Y,Y,N,N,,4,4,5,2,4,4,2,5,3,1,5,2,1,3,5,3,3,,,,,4,4,5,5,3,,,,,Twice a year,Less than once a year,Once every 3 months,Monthly,Weekly,Weekly,3,3,5,5,3,5,3,5,5,5,5
