id,Gender,Country,Seniority,Field,OS_BeneDiscipline,OS_BeneIndividual,OS_BenePublic,OA_ChSeeking,OA_ChSub,OD_aware,OD_seeking,OD_using,OD_sharing,OD_none,OD_publish,OD_anyone,OD_helpful,OD_dontaffect,Who_decide,Sharing_asked,Sharing_shared,Sharing_never,Sharing_not_interested,Sharing_addedwork,Sharing_rights,Sharing_competition,Sharing_quality,Sharing_essential,Sharing_selfeval,Sharing_request,Sharing_responsiblyused,Sharing_required,Doc_askpeople,Doc_reproduc,Doc_unproductive,Doc_unuseful,Rev_coderev,Rev_qualitynotaffect,Rev_doc,Rev_docreadywhenpublish,Tool_codemanage,Tool_issuetracker,Tool_docmanage,Tool_coediting,Tool_eventmanage,Tool_notebook,Happy_codemanage,Happy_issuetracker,Happy_docmanage,Happy_coediting,Happy_refmanage,Happy_eventmanage,Happy_notebook,Tool_endorsement,Tool_efficient,Tool_easy,Tool_peers
520,Female,Romania,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,No,Yes,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Individual,Yes,No,No,No,Not at all affect,Somewhat affect,Neutral,Somewhat affect,Neutral,Neutral,Neutral,Neutral,Not at all affect,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Daily,Daily,Daily,Daily,Daily,Less than once a year,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No experience,Very satisfied,No experience,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect
521,Male,the United Kingdom of Great Britain and Northern Ireland,Senior,Experiment,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,No,No,No,No,Yes,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Community,No,Yes,No,No,Somewhat affect,Somewhat affect,Neutral,Neutral,Somewhat affect,Affect a lot,Affect a lot,Somewhat affect,Affect a lot,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Somewhat agree,Neutral,Somewhat agree,Monthly,Monthly,Daily,Monthly,Weekly,Once every 3 months,Moderately satisfied,Neither satisfied nor dissatisfied,Moderately satisfied,Moderately dissatisfied,No experience,Moderately satisfied,No experience,Neutral,Neutral,Somewhat affect,Affect a lot
522,Male,Austria,Junior,Experiment,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Strongly agree,Yes,No,No,No,No,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Collab,Yes,Yes,No,No,Affect a lot,Rarely affect,Somewhat affect,Affect a lot,Affect a lot,Somewhat affect,Somewhat affect,Not at all affect,Affect a lot,Somewhat agree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Somewhat agree,Neutral,Somewhat agree,Daily,Weekly,Daily,Weekly,Daily,Daily,Very satisfied,Moderately satisfied,Moderately dissatisfied,Moderately satisfied,No experience,Very satisfied,Very satisfied,Somewhat affect,Somewhat affect,Affect a lot,Somewhat affect
523,Male,United States of America,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Yes,Yes,Yes,Yes,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Community,Yes,Yes,No,No,Rarely affect,Somewhat affect,Not at all affect,Rarely affect,Neutral,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Neutral,Daily,Daily,Daily,Weekly,Daily,Twice a year,Very satisfied,Moderately dissatisfied,Very satisfied,Moderately dissatisfied,No experience,Very satisfied,Moderately dissatisfied,Somewhat affect,Affect a lot,Affect a lot,Affect a lot
527,Male,Switzerland,Junior,Experiment,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Yes,No,No,No,No,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Community,No,Yes,No,No,Affect a lot,Somewhat affect,Affect a lot,Somewhat affect,Affect a lot,Affect a lot,Rarely affect,Rarely affect,Affect a lot,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Monthly,Less than once a year,Twice a year,Monthly,Weekly,Less than once a year,Very satisfied,No experience,Moderately satisfied,Moderately satisfied,No experience,Very satisfied,No experience,Somewhat affect,Somewhat affect,Affect a lot,Affect a lot
528,Male,Italy,Senior,Experiment,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Yes,No,No,No,No,Neutral,Somewhat agree,Neutral,Somewhat agree,Collab,Yes,Yes,No,No,Rarely affect,Neutral,Somewhat affect,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Neutral,Neutral,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Daily,Daily,Daily,Daily,Daily,Once every 3 months,Moderately satisfied,Moderately satisfied,Moderately dissatisfied,Very satisfied,No experience,Very satisfied,Neither satisfied nor dissatisfied,Somewhat affect,Affect a lot,Affect a lot,Somewhat affect
530,Male,France,Senior,Experiment,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neutral,No,Yes,No,No,No,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Collab,No,No,Yes,No,Neutral,Neutral,Rarely affect,Neutral,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Affect a lot,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Less than once a year,Less than once a year,Once a year,Once a year,Once a year,Once a year,Moderately satisfied,Moderately satisfied,Moderately satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Somewhat affect,Somewhat affect,Neutral,Somewhat affect
532,Male,United States of America,Junior,Experiment,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Neutral,Yes,No,No,No,Yes,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Individual,No,Yes,No,No,Affect a lot,Neutral,Neutral,Neutral,Somewhat affect,Somewhat affect,Affect a lot,Somewhat affect,Somewhat affect,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neutral,Somewhat disagree,Daily,Less than once a year,Monthly,Daily,Weekly,Less than once a year,Very satisfied,Moderately satisfied,Moderately satisfied,Very satisfied,No experience,Moderately satisfied,No experience,Affect a lot,Affect a lot,Affect a lot,Affect a lot
533,Female,United States of America,Junior,Experiment,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Yes,No,No,No,No,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Collab,Yes,Yes,No,No,Affect a lot,Affect a lot,Rarely affect,Rarely affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Daily,Daily,Daily,Daily,Daily,Once every 3 months,Moderately dissatisfied,Moderately satisfied,Moderately satisfied,Very satisfied,No experience,Very satisfied,No experience,Rarely affect,Affect a lot,Affect a lot,Rarely affect
534,Male,United States of America,Junior,Experiment,Strongly agree,Somewhat agree,Neutral,Neutral,Neutral,Yes,No,No,No,No,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Collab,No,No,Yes,No,Somewhat affect,Somewhat affect,Neutral,Neutral,Affect a lot,Affect a lot,Somewhat affect,Neutral,Somewhat affect,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neutral,Neutral,Somewhat disagree,Weekly,Weekly,Weekly,Weekly,Weekly,Less than once a year,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No experience,Very satisfied,No experience,Neutral,Affect a lot,Affect a lot,Neutral
539,Male,Germany,Senior,Experiment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,No,No,No,No,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Collab,No,Yes,No,No,Neutral,Somewhat affect,Somewhat affect,Neutral,Somewhat affect,Neutral,Neutral,Affect a lot,Somewhat affect,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Once a year,Once a year,Once a year,Once a year,Once every 3 months,Once a year,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Moderately dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Moderately satisfied,Neither satisfied nor dissatisfied,Somewhat affect,Neutral,Neutral,Neutral
541,Male,Norway,Junior,Experiment,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Yes,No,No,No,Yes,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Community,No,No,Yes,No,Neutral,Somewhat affect,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Rarely affect,Affect a lot,Somewhat agree,Somewhat agree,Somewhat disagree,Neutral,Somewhat agree,Somewhat disagree,Neutral,Neutral,Monthly,Less than once a year,Once a year,Daily,Monthly,Less than once a year,Moderately satisfied,No experience,Neither satisfied nor dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Moderately satisfied,No experience,Neutral,Somewhat affect,Affect a lot,Affect a lot
542,Male,Slovenia,Senior,Experiment,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,No,No,Yes,No,No,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Collab,Yes,Yes,No,No,Somewhat affect,Neutral,Somewhat affect,Neutral,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Somewhat disagree,Somewhat disagree,Weekly,Daily,Daily,Daily,Daily,Once every 3 months,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No experience,Moderately satisfied,Neither satisfied nor dissatisfied,Affect a lot,Affect a lot,Affect a lot,Affect a lot
544,Male,Romania,Junior,Experiment,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Yes,Yes,Yes,Yes,No,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Collab,Yes,Yes,No,No,Affect a lot,Affect a lot,Not at all affect,Somewhat affect,Somewhat affect,Affect a lot,Neutral,Neutral,Neutral,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neutral,Somewhat agree,Somewhat agree,Daily,Daily,Daily,Weekly,Daily,Less than once a year,Moderately satisfied,Moderately satisfied,Moderately satisfied,Moderately satisfied,No experience,Neither satisfied nor dissatisfied,No experience,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect
548,Male,Austria,Senior,Experiment,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Yes,No,No,No,No,Somewhat disagree,Strongly disagree,Strongly disagree,Neutral,Collab,No,No,No,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Monthly,Less than once a year,Monthly,Daily,Weekly,Less than once a year,Moderately satisfied,No experience,Very satisfied,Very satisfied,Moderately satisfied,Very satisfied,No experience,Affect a lot,Affect a lot,Affect a lot,Affect a lot
549,Female,Italy,Junior,Experiment,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Neutral,Yes,No,No,No,No,Strongly agree,Somewhat agree,Strongly agree,Neutral,Community,No,Yes,No,No,Somewhat affect,Somewhat affect,Affect a lot,Neutral,Neutral,Neutral,Neutral,Somewhat affect,Somewhat affect,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Neutral,Neutral,Neutral,Somewhat agree,Weekly,Less than once a year,Daily,Daily,Weekly,Less than once a year,Very satisfied,No experience,Very satisfied,Moderately satisfied,Neither satisfied nor dissatisfied,Very satisfied,No experience,Somewhat affect,Affect a lot,Affect a lot,Somewhat affect
550,Male,Russian Federation,Senior,Experiment,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Yes,No,No,No,No,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Community,No,Yes,No,No,Somewhat affect,Neutral,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Neutral,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neutral,Somewhat disagree,Somewhat agree,Less than once a year,Less than once a year,Less than once a year,Less than once a year,Weekly,Less than once a year,No experience,No experience,No experience,No experience,No experience,No experience,No experience,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect
555,Male,France,Senior,Experiment,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Somewhat agree,No,No,No,No,Yes,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Funders,No,No,Yes,No,Somewhat affect,Neutral,Affect a lot,Somewhat affect,Neutral,Somewhat affect,Rarely affect,Affect a lot,Neutral,Neutral,Somewhat agree,Somewhat disagree,Neutral,Neutral,Strongly agree,Somewhat disagree,Somewhat agree,Less than once a year,Less than once a year,Once a year,Weekly,Daily,Weekly,No experience,No experience,Moderately satisfied,Neither satisfied nor dissatisfied,No experience,Very satisfied,Moderately satisfied,Affect a lot,Somewhat affect,Somewhat affect,Rarely affect
556,Male,France,Senior,Experiment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,No,No,No,No,Yes,Strongly agree,Strongly agree,Strongly agree,Neutral,Individual,Yes,Yes,No,No,Rarely affect,Somewhat affect,Not at all affect,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect,Not at all affect,Somewhat affect,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Weekly,Twice a year,Weekly,Once every 3 months,Weekly,Less than once a year,Very satisfied,Moderately satisfied,Very satisfied,Moderately satisfied,No experience,Very satisfied,No experience,Affect a lot,Affect a lot,Affect a lot,Somewhat affect
558,Female,the United Kingdom of Great Britain and Northern Ireland,Junior,Experiment,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Neutral,Yes,No,No,No,No,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Community,Yes,No,No,No,Somewhat affect,Affect a lot,Not at all affect,Not at all affect,Affect a lot,Affect a lot,Affect a lot,Somewhat affect,Affect a lot,Strongly agree,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Daily,Weekly,Daily,Weekly,Weekly,Less than once a year,Very satisfied,Moderately satisfied,Very satisfied,No experience,No experience,Very satisfied,Neither satisfied nor dissatisfied,Affect a lot,Affect a lot,Affect a lot,Somewhat affect
561,Male,the United Kingdom of Great Britain and Northern Ireland,Senior,Experiment,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Yes,Yes,Yes,Yes,No,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Collab,Yes,Yes,No,No,Rarely affect,Neutral,Neutral,Neutral,Affect a lot,Affect a lot,Rarely affect,Affect a lot,Rarely affect,Neutral,Strongly agree,Neutral,Strongly disagree,Neutral,Somewhat disagree,Somewhat agree,Somewhat agree,Once every 3 months,Monthly,Weekly,Monthly,Daily,Less than once a year,Neither satisfied nor dissatisfied,Moderately dissatisfied,Moderately dissatisfied,Neither satisfied nor dissatisfied,No experience,Very dissatisfied,No experience,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot
562,Male,the United Kingdom of Great Britain and Northern Ireland,Junior,Experiment,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Yes,Yes,Yes,No,No,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Community,No,No,Yes,No,Affect a lot,Affect a lot,Somewhat affect,Affect a lot,Somewhat affect,Somewhat affect,Affect a lot,Affect a lot,Affect a lot,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Daily,Daily,Weekly,Less than once a year,Daily,Less than once a year,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,No experience,No experience,Very satisfied,No experience,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot
568,Female,Germany,Junior,Experiment,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Yes,No,No,No,No,Neutral,Somewhat agree,Somewhat disagree,Strongly agree,Collab,Yes,Yes,No,No,Affect a lot,Affect a lot,Somewhat affect,Affect a lot,Neutral,Affect a lot,Affect a lot,Somewhat affect,Affect a lot,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Daily,Monthly,Daily,Twice a year,Daily,Twice a year,Very satisfied,Moderately satisfied,Moderately satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Moderately dissatisfied,Neither satisfied nor dissatisfied,Somewhat affect,Somewhat affect,Affect a lot,Affect a lot
569,Prefer not to say,the United Kingdom of Great Britain and Northern Ireland,Senior,Experiment,Strongly agree,Neutral,Somewhat agree,Strongly disagree,Somewhat disagree,Yes,No,No,No,No,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Collab,Yes,Yes,No,No,Somewhat affect,Somewhat affect,Neutral,Rarely affect,Rarely affect,Rarely affect,Affect a lot,Neutral,Affect a lot,Neutral,Strongly agree,Neutral,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Monthly,Monthly,Monthly,Once every 3 months,Daily,Less than once a year,Moderately satisfied,Moderately satisfied,Neither satisfied nor dissatisfied,Moderately dissatisfied,No experience,Moderately satisfied,No experience,Somewhat affect,Affect a lot,Affect a lot,Somewhat affect
570,Male,Croatia,Senior,Experiment,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Yes,Yes,No,No,No,Neutral,Neutral,Neutral,Strongly agree,Community,No,Yes,No,No,Somewhat affect,Affect a lot,Rarely affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Somewhat affect,Neutral,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neutral,Weekly,Monthly,Weekly,Daily,Daily,Once every 3 months,Moderately satisfied,Moderately satisfied,Very satisfied,Very satisfied,No experience,Very satisfied,Very satisfied,Somewhat affect,Affect a lot,Affect a lot,Somewhat affect
573,Male,the United Kingdom of Great Britain and Northern Ireland,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Yes,No,No,No,No,Somewhat agree,Neutral,Somewhat disagree,Strongly agree,Collab,Yes,Yes,No,No,Somewhat affect,Affect a lot,Neutral,Neutral,Neutral,Somewhat affect,Affect a lot,Neutral,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Daily,Weekly,Weekly,Monthly,Daily,Once every 3 months,Very satisfied,Very satisfied,Moderately dissatisfied,Moderately dissatisfied,No experience,Very satisfied,Very satisfied,Somewhat affect,Affect a lot,Affect a lot,Affect a lot
574,Male,Italy,Senior,Experiment,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,No,No,No,No,Yes,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Collab,No,Yes,No,No,Somewhat affect,Somewhat affect,Somewhat affect,Rarely affect,Somewhat affect,Neutral,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neutral,Somewhat disagree,Monthly,Less than once a year,Monthly,Monthly,Weekly,Once a year,Very satisfied,No experience,Very satisfied,Moderately satisfied,No experience,Very satisfied,No experience,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect
577,Male,Austria,Junior,Experiment,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Yes,Yes,No,No,No,Somewhat disagree,Neutral,Somewhat agree,Somewhat disagree,Collab,Yes,Yes,No,No,Rarely affect,Rarely affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Neutral,Somewhat agree,Somewhat agree,Neutral,Neutral,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Daily,Once every 3 months,Daily,Daily,Daily,Twice a year,Very satisfied,Neither satisfied nor dissatisfied,Moderately dissatisfied,Very satisfied,No experience,Neither satisfied nor dissatisfied,Moderately satisfied,Neutral,Affect a lot,Affect a lot,Somewhat affect
579,Female,the United Kingdom of Great Britain and Northern Ireland,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Yes,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Collab,Yes,Yes,No,No,Neutral,Affect a lot,Neutral,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Somewhat affect,Somewhat affect,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neutral,Daily,Less than once a year,Daily,Daily,Daily,Less than once a year,Very satisfied,No experience,Very satisfied,Moderately satisfied,No experience,Very satisfied,No experience,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect
580,Male,Germany,Senior,Experiment,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Strongly disagree,Yes,No,No,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Funders,No,No,Yes,No,Affect a lot,Neutral,Rarely affect,Somewhat affect,Neutral,Somewhat affect,Somewhat affect,Neutral,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Neutral,Less than once a year,Less than once a year,Once a year,Twice a year,Daily,Less than once a year,Moderately dissatisfied,No experience,Neither satisfied nor dissatisfied,Moderately satisfied,No experience,Very satisfied,No experience,Neutral,Somewhat affect,Affect a lot,Affect a lot
583,Prefer not to say,the United Kingdom of Great Britain and Northern Ireland,Senior,Experiment,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,No,Yes,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Other,No,Yes,No,No,Not at all affect,Not at all affect,Not at all affect,Not at all affect,Affect a lot,Somewhat affect,Affect a lot,Not at all affect,Not at all affect,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Less than once a year,Less than once a year,Daily,Weekly,Daily,Less than once a year,No experience,No experience,Neither satisfied nor dissatisfied,Moderately dissatisfied,No experience,Neither satisfied nor dissatisfied,No experience,Somewhat affect,Neutral,Affect a lot,Somewhat affect
584,Male,Israel,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Yes,No,No,No,No,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Collab,No,Yes,No,No,Rarely affect,Affect a lot,Affect a lot,Somewhat affect,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Somewhat affect,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Less than once a year,Less than once a year,Weekly,Daily,Weekly,Less than once a year,No experience,No experience,Neither satisfied nor dissatisfied,Moderately satisfied,No experience,Very satisfied,No experience,Affect a lot,Affect a lot,Somewhat affect,Somewhat affect
585,Male,the United Kingdom of Great Britain and Northern Ireland,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,No,No,Yes,No,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Individual,Yes,Yes,No,No,Not at all affect,Somewhat affect,Somewhat affect,Somewhat affect,Neutral,Somewhat affect,Somewhat affect,Affect a lot,Neutral,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Daily,Weekly,Daily,Weekly,Daily,Monthly,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Somewhat affect,Affect a lot,Affect a lot,Affect a lot
586,Male,Germany,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Neutral,Yes,Yes,No,No,No,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Individual,Yes,Yes,No,No,Neutral,Rarely affect,Not at all affect,Rarely affect,Not at all affect,Rarely affect,Affect a lot,Somewhat affect,Neutral,Neutral,Strongly agree,Somewhat disagree,Neutral,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Daily,Less than once a year,Twice a year,Daily,Once every 3 months,Daily,Very satisfied,No experience,Neither satisfied nor dissatisfied,Very satisfied,No experience,Very satisfied,Very satisfied,Somewhat affect,Affect a lot,Affect a lot,Rarely affect
590,Female,Hungary,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Yes,Yes,No,No,No,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Collab,Yes,Yes,No,No,Somewhat affect,Rarely affect,Neutral,Somewhat affect,Neutral,Somewhat affect,Affect a lot,Affect a lot,Affect a lot,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Weekly,Less than once a year,Daily,Daily,Daily,Less than once a year,Moderately satisfied,No experience,Moderately satisfied,Moderately satisfied,No experience,Very satisfied,No experience,Affect a lot,Affect a lot,Affect a lot,Somewhat affect
594,Male,Slovenia,Senior,Experiment,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat disagree,Yes,No,No,No,No,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Individual,No,Yes,No,No,Somewhat affect,Affect a lot,Neutral,Affect a lot,Neutral,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Neutral,Strongly agree,Somewhat disagree,Somewhat disagree,Neutral,Neutral,Somewhat disagree,Somewhat agree,Less than once a year,Less than once a year,Once a year,Once every 3 months,Monthly,Once a year,No experience,No experience,Moderately satisfied,Very satisfied,No experience,Moderately satisfied,No experience,Neutral,Neutral,Somewhat affect,Affect a lot
595,Male,Germany,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Yes,No,No,No,No,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Collab,Yes,Yes,No,No,Affect a lot,Affect a lot,Somewhat affect,Affect a lot,Somewhat affect,Rarely affect,Affect a lot,Somewhat affect,Affect a lot,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Weekly,Less than once a year,Monthly,Monthly,Weekly,Less than once a year,Very satisfied,No experience,Very satisfied,Very satisfied,No experience,Very satisfied,No experience,Affect a lot,Affect a lot,Affect a lot,Affect a lot
598,Female,Germany,Junior,Experiment,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Yes,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Collab,No,Yes,No,No,Neutral,Somewhat affect,Somewhat affect,Affect a lot,Affect a lot,Affect a lot,Somewhat affect,Somewhat affect,Affect a lot,Neutral,Neutral,Neutral,Neutral,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Weekly,Less than once a year,Daily,Daily,Monthly,Weekly,Very satisfied,No experience,Moderately satisfied,Very satisfied,No experience,Moderately satisfied,Moderately satisfied,Neutral,Neutral,Neutral,Neutral
